21aefx;00h17m19.56s  ;-54h56m53.09s ;V;180;17.2488
21aefx;00h17m19.56s  ;-54h56m53.09s ;V;300;17.2488
21aefx;00h17m19.56s  ;-54h56m53.09s ;R;180;17.2488
21aefx;00h17m19.56s  ;-54h56m53.09s ;R;300;17.2488
22jzx;1h02m09.856992s;-4h14m06.54s ;R;300;16.888
22tiv;1h25m35.83s;-22h44m07.39s ;V;180;18.651
22ucj;0h18m03.41s;-16h18m21.9s ;V;180;18.188
22udc;0h17m35.41133333s;-10h18m30.38s ;V;180;18.218
22wbc;1h28m31.91933333s;+7h08m07.43s ;V;180;19.12
22xbu;1h25m19.71333333s;-6h26m14.96s ;V;180;19.46
22xhd;0h14m38.14666667s;-17h39m51.56s ;V;300;19.82
22xhd;0h14m38.14666667s;-17h39m51.56s ;R;300;19.82
22xix;4h15m07.435008s;-0h55m59.73996s ;R;300;19.26
22xkq;0h20m21.58133333s;-11h52m56.19s ;V;180;18.9083
22xxu;1h23m44.00733333s;+17h48m13.52s ;V;180;19.233
22ydu;0h43m09.39133333s;-24h27m04.27s ;V;180;17.861
22ydv;1h18m55.45466667s;-60h39m14.26s ;V;180;18.04
22yjy;7h41m40.863s;+8h59m54.83004s ;R;300;20.1929
22ywf;0h05m28.81333333s;+0h57m23.59s ;V;180;19.95
22yxp;0h19m44.37466667s;+1h49m06.9s ;V;180;19.6079
22yxp;0h19m44.37466667s;+1h49m06.9s ;R;180;19.6079
22yxp;0h19m44.37466667s;+1h49m06.9s ;R;300;19.6079
22zut;0h46m43.92133333s;+11h28m10.9s ;V;180;19.55
22zxj;0h00m03.43866667s;-2h18m02.81s ;V;300;18.1203
22zxj;0h00m03.43866667s;-2h18m02.81s ;R;300;18.1203
22aaiw;6h10m11.170992s;-27h35m53.17008s ;V;300;18.414
22aaiw;6h10m11.170992s;-27h35m53.17008s ;R;300;18.414
22aanf;4h09m09.625008s;+17h06m59.05008s ;V;300;19.138
22aanf;4h09m09.625008s;+17h06m59.05008s ;R;300;19.138
22abdh;8h39m08.044992s;-8h51m47.66004s ;V;300;18.48
22abdh;8h39m08.044992s;-8h51m47.66004s ;R;300;18.48
22abgg;2h23m00.889992s;-9h11m49.08984s ;V;180;19.066
22abgg;2h23m00.889992s;-9h11m49.08984s ;V;300;19.066
22abgg;2h23m00.889992s;-9h11m49.08984s ;R;180;19.066
22abgg;2h23m00.889992s;-9h11m49.08984s ;R;300;19.066
22abic;2h59m09.286992s;-4h28m16.24008s ;V;180;18.526
22abic;2h59m09.286992s;-4h28m16.24008s ;V;300;18.526
22abic;2h59m09.286992s;-4h28m16.24008s ;R;180;18.526
22abic;2h59m09.286992s;-4h28m16.24008s ;R;300;18.526
22abid;2h07m19.492992s;-25h26m26.36988s ;V;180;17.4
22abid;2h07m19.492992s;-25h26m26.36988s ;V;300;17.4
22abid;2h07m19.492992s;-25h26m26.36988s ;R;180;17.4
22abid;2h07m19.492992s;-25h26m26.36988s ;R;300;17.4
22acwj;9h14m24.340992s;-33h20m14.79984s ;V;180;18.538
22acwj;9h14m24.340992s;-33h20m14.79984s ;R;180;18.538
22acyd;4h01m11.361s;+5h32m54.75012s ;R;300;18.3
22aczs;2h05m19.834008s;-23h41m53.39004s ;V;300;18.1506
22adbx;11h22m33.6s;+20h41m59.93016s ;V;300;17.2757
22adbx;11h22m33.6s;+20h41m59.93016s ;R;300;17.2757
22adpu;11h36m47.883s;-8h35m16.46988s ;R;300;17.8379
22aduk;10h38m46.542s;-17h33m42.81984s ;V;300;18.991
22aduk;10h38m46.542s;-17h33m42.81984s ;R;300;18.991
23aw;13h02m44.67s;-22h04m33.25008s ;V;300;18.369
