target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
2022jzx_22S05,2022-12-08 08:46:40.006,2022-12-08 08:53:00.006,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1
TransitionBlock,2022-12-08 08:53:00.006,2022-12-08 08:53:20.006,0.33,,,[],,
22P_22S01,2022-12-08 08:53:20.006,2022-12-08 09:35:20.006,42.0,0h48m17.75s,-1d14m23.8s,{'filter': 'R'},60,18
TransitionBlock,2022-12-08 09:35:20.006,2022-12-08 09:36:20.006,1.0,,,[],,
395P_22S01,2022-12-08 09:36:20.006,2022-12-08 09:39:40.006,3.33,23h06m16.16s,-3d12m11.4s,{'filter': 'R'},120,1
TransitionBlock,2022-12-08 09:39:40.006,2022-12-08 09:40:40.006,1.0,,,[],,
73P-JD001_22S01,2022-12-08 09:40:40.006,2022-12-08 09:48:00.006,7.33,21h43m19.81s,-23d55m57.2s,{'filter': 'R'},30,4
TransitionBlock,2022-12-08 09:48:00.006,2022-12-08 09:48:20.006,0.33,,,[],,
73P-BU_22S01,2022-12-08 09:48:20.006,2022-12-08 09:51:40.006,3.33,22h21m31.62s,-21d15m29.9s,{'filter': 'R'},120,1
TransitionBlock,2022-12-08 09:51:40.006,2022-12-08 09:52:00.006,0.33,,,[],,
73P-BV_22S01,2022-12-08 09:52:00.006,2022-12-08 09:55:20.006,3.33,22h13m08.83s,-22d02m28.2s,{'filter': 'R'},120,1
TransitionBlock,2022-12-08 09:55:20.006,2022-12-08 09:57:20.006,2.0,,,[],,
C2014_UN271_22S01,2022-12-08 10:01:40.009,2022-12-08 10:08:40.009,7.0,2h34m44.86s,-61d20m31.1s,{'filter': 'R'},60,3
TransitionBlock,2022-12-08 10:08:40.009,2022-12-08 10:10:40.009,2.0,,,[],,
C2021_T4_22S01,2022-12-08 10:10:40.009,2022-12-08 11:00:40.009,50.0,1h04m58.02s,-12d47m59.6s,{'filter': 'R'},20,30
TransitionBlock,2022-12-08 11:00:40.009,2022-12-08 11:01:20.009,0.67,,,[],,
382P_22S01,2022-12-08 11:01:20.009,2022-12-08 11:04:40.009,3.33,0h34m01.96s,-0d42m18.7s,{'filter': 'R'},120,1
TransitionBlock,2022-12-08 11:04:40.009,2022-12-08 11:05:00.009,0.33,,,[],,
2060_22S01,2022-12-08 11:05:00.009,2022-12-08 11:08:20.009,3.33,0h40m14.51s,+6d19m10.2s,{'filter': 'R'},120,1
TransitionBlock,2022-12-08 11:08:20.009,2022-12-08 11:10:20.009,2.0,,,[],,
C2021_Y1_22S01,2022-12-08 11:12:40.011,2022-12-08 12:02:40.011,50.0,4h06m50.34s,+7d48m44.7s,{'filter': 'R'},20,30
TransitionBlock,2022-12-08 12:02:40.011,2022-12-08 12:08:20.011,5.67,,,['filter:R to V'],,
2022ydv_22S02,2022-12-08 12:08:20.011,2022-12-08 12:12:40.011,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1
TransitionBlock,2022-12-08 12:12:40.011,2022-12-08 12:18:20.011,5.67,,,['filter:V to R'],,
C2021_G2_22S01,2022-12-08 12:18:40.014,2022-12-08 13:04:40.014,46.0,9h14m52.94s,-36d25m55s,{'filter': 'R'},30,25
TransitionBlock,2022-12-08 13:04:40.014,2022-12-08 13:06:00.014,1.33,,,[],,
C2021_S3_22S01,2022-12-08 13:06:20.016,2022-12-08 13:56:20.016,50.0,6h01m29.74s,-37d17m32.8s,{'filter': 'R'},20,30
TransitionBlock,2022-12-08 13:56:20.016,2022-12-08 14:01:40.016,5.33,,,['filter:R to V'],,
2022tiv_22S02,2022-12-08 14:01:40.016,2022-12-08 14:06:00.016,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1
TransitionBlock,2022-12-08 14:06:00.016,2022-12-08 14:07:20.016,1.33,,,[],,
2021aefx_22S02,2022-12-08 14:07:20.016,2022-12-08 14:11:40.016,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1
TransitionBlock,2022-12-08 14:11:40.016,2022-12-08 14:17:40.016,6.0,,,['filter:V to R'],,
2022yxp_22S05,2022-12-08 14:17:40.016,2022-12-08 14:24:00.016,6.33,4h56m05.623992s,+1d49m06.89988s,{'filter': 'R'},300,1
TransitionBlock,2022-12-08 14:24:00.016,2022-12-08 14:26:40.016,2.67,,,[],,
C2021_E3_22S01,2022-12-08 14:28:40.019,2022-12-08 15:18:40.019,50.0,9h27m32.3s,-43d57m13.7s,{'filter': 'R'},20,30
TransitionBlock,2022-12-08 15:18:40.019,2022-12-08 15:20:20.019,1.67,,,[],,
C2021_C5_22S01,2022-12-08 15:20:40.021,2022-12-08 16:06:40.021,46.0,13h36m25.85s,-53d28m49.9s,{'filter': 'R'},30,25
TransitionBlock,2022-12-08 16:06:40.021,2022-12-08 16:09:40.021,3.0,,,[],,
C2021_A9_22S01,2022-12-08 16:10:00.022,2022-12-08 16:13:20.022,3.33,8h55m22.18s,+13d37m44.6s,{'filter': 'R'},120,1
